,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28
NCI-H1355,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
COLO 741,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
KOPN-8,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
SNU-1197,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
Pfeiffer,-0.068560325,-0.26538897,-0.6509062,0.116642565,-0.5080951,-0.07737591,0.30219436,-0.7012652,0.0015621185,0.8751842,0.61907965,0.48111975,0.07080728,-0.16608766,-0.6214614,0.042518616,-0.38251704,-0.64645684,0.2601764,-0.16723442,0.76314497,0.21623313,0.5890769,-0.13807313,-0.38990587,-0.2186453,-0.12459265,0.61603993,0.9756608
JHH-4,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
DMS 114,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
JHOS-2,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
8305C,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
PaTu 8988t,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
CAL-120,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
NCI-H2227,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
UT-7,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Hs 604.T,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
IST-Mes1,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
SW1271,0.10910171,-0.050773602,-0.4581905,-0.16486761,-0.48688135,-0.124054134,0.18656689,-0.5032062,0.3032515,0.58703315,0.2843309,0.26150024,0.45345178,-0.22206612,-0.43152368,0.4814596,-0.3842327,-0.56157714,-0.1125897,-0.5258159,0.37084565,0.053247232,0.5739931,-0.20224161,-0.46079785,-0.27523914,-0.034093782,0.4215699,0.5729301
UACC-893,-0.10846666,-0.61177814,-1.3526742,0.55797577,-0.26115942,0.053474978,0.5659979,-0.38605043,-0.15829968,1.1020386,0.7450355,0.8654339,0.041904062,-0.27197343,-0.42634088,-0.4079523,-0.1840558,-0.9514732,0.8315705,-0.14154279,0.5152501,0.26724198,0.14174724,-0.6754492,-0.030102432,-0.5548408,0.11654521,0.56464005,1.2141643
Fu97,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
Panc 04.03,0.07151653,-0.0130879115,-0.54465514,-0.11045624,-0.51851344,-0.088902734,0.23190731,-0.49415722,0.25702792,0.5135186,0.19462368,0.18721828,0.38007745,-0.1548688,-0.47589138,0.5826528,-0.4325267,-0.557845,-0.1211314,-0.49850103,0.31818914,0.07078488,0.5886433,-0.3110159,-0.51461124,-0.2282031,-0.029809367,0.41620737,0.45553797
DBTRG-05MG,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
EBC-1,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
SUP-T11,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
ZR-75-1,-0.3767993,-0.8416697,-1.2713034,0.7917974,-0.40358165,0.043763444,0.6029814,-0.9072701,-0.57906634,1.5500169,1.3395169,1.1108941,-0.5708833,-0.16600157,-0.8328762,-1.0285065,-0.24876142,-0.9477105,1.2056729,0.46313977,1.3783418,0.5181267,0.3888199,-0.20617598,-0.051092923,-0.3145145,-0.17181571,0.9407453,1.8912985
CL-40,-0.027541883,0.005092595,-0.65305775,0.0052390248,-0.5894158,-0.040154234,0.30254954,-0.5694436,0.12064785,0.48025748,0.16277099,0.118308574,0.17162934,-0.03912288,-0.6090128,0.6284887,-0.5144265,-0.550248,-0.07412501,-0.3582546,0.38677043,0.13777602,0.65334314,-0.38803062,-0.59806335,-0.11817558,-0.072848625,0.47133163,0.39668787
HMCB,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KP-N-YN,0.10969387,-0.71202654,-1.1313175,0.32898226,-0.0758661,-0.059243128,0.4144917,-0.22385433,0.12752588,1.2530608,0.8992563,1.0986544,0.50065994,-0.56207407,-0.116452605,-0.628364,0.033014446,-0.9966979,0.80206347,-0.4292997,0.41199,0.12913296,-0.03419441,-0.4780118,0.20950162,-0.8362626,0.2155691,0.46085212,1.4550295
Detroit 562,-0.40213242,-0.15796144,-1.1205003,0.5379857,-0.74710196,0.12114908,0.5817843,-0.87424505,-0.45068473,0.6575605,0.37199888,0.17246279,-0.61880815,0.26217842,-1.0506295,0.33793527,-0.6831099,-0.62883997,0.38660625,0.25599653,0.8394733,0.42793357,0.77390677,-0.5608037,-0.69986284,0.14989716,-0.22324306,0.75059694,0.6091082
SK-MEL-28,0.041867867,-0.13199195,-0.53112125,-0.058333807,-0.4949094,-0.10638937,0.23032457,-0.57815903,0.18908116,0.6960801,0.41101214,0.34461233,0.30864504,-0.20088181,-0.5034031,0.31534818,-0.38358343,-0.59369874,0.028478697,-0.39011547,0.5193061,0.1149271,0.57970136,-0.17795789,-0.4339697,-0.25382194,-0.06834188,0.4951645,0.7253382
Namalwa,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
SNU-1196,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HCC1438,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
NCI-H727,0.23571315,-0.30228838,-0.7325225,-0.063172325,-0.22067711,-0.11762508,0.24366161,-0.19177878,0.4102691,0.78920954,0.42217082,0.6169342,0.7542095,-0.46958944,-0.10404298,0.11527875,-0.1305148,-0.767118,0.18136746,-0.7216587,0.117210224,-0.016207285,0.19167307,-0.41633576,-0.101623416,-0.6582397,0.18275969,0.30737758,0.8257036
Hs 688(A).T,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
COV362,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
KNS-42,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
Ki-JK,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
Hs 683,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
MEC-2,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
LN-308,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
SK-MEL-2,-0.026043467,-0.2140287,-0.6047868,0.04927349,-0.5030184,-0.08854662,0.2745232,-0.6538671,0.073760346,0.8062259,0.5389699,0.42856193,0.16237912,-0.17948404,-0.5760068,0.14756292,-0.38292763,-0.626144,0.17096859,-0.25304767,0.66926265,0.17722848,0.58546716,-0.15342948,-0.40687126,-0.23218894,-0.10293508,0.5695007,0.87928206
NUGC-4,0.45543244,-0.8032333,-1.2742136,0.16149646,0.28131193,-0.10014098,0.36497846,0.37580943,0.5787733,1.2050226,0.7213735,1.3153517,1.2806127,-0.9322331,0.49488515,-0.6284159,0.35042003,-1.166215,0.78069675,-1.0520047,-0.31880978,-0.12929386,-0.53102636,-0.8147081,0.58698666,-1.3775133,0.5833694,0.11309913,1.3504027
HCC78,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Hep 3B2.1-7,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Hs 737.T,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
OPM-2,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
A-172,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
AGS,0.5948102,-1.831072,-2.3405576,0.8347534,1.0405496,-0.019362979,0.68683434,1.0347973,0.4960906,2.1842427,1.5719738,2.657156,1.6638039,-1.5902213,1.2120969,-2.292207,1.1030688,-1.88642,2.1433225,-1.1567469,-0.54986024,-0.11904739,-1.6417912,-1.3629917,1.7430595,-2.4353657,1.1049737,0.03269136,2.630875
SCC-15,-0.003526099,-0.027314244,-0.83175147,0.07528618,-0.5217391,-0.0039343536,0.3621887,-0.42298934,0.14002831,0.44777134,0.08383304,0.14935583,0.24218243,-0.064350545,-0.5156407,0.6442978,-0.4718886,-0.6151613,-0.009446368,-0.43727392,0.19538645,0.11481047,0.5240485,-0.59362483,-0.52867013,-0.21643734,0.022277446,0.40344524,0.32408535
HuNS1,-0.21758232,-0.75513667,-1.1278062,0.58427906,-0.33361155,-0.007825136,0.5060065,-0.73699856,-0.33418435,1.428962,1.1881057,1.0573754,-0.22866133,-0.27813286,-0.6336572,-0.8456246,-0.18584882,-0.9213752,1.0013906,0.17926008,1.1120665,0.3887053,0.31718674,-0.21317945,-0.016703933,-0.4335847,-0.083828546,0.79784346,1.7268242
NCI-H520,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
SU-DHL-6,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
F5,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
ES-2,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
IGR-37,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
KALS-1,0.05349914,-0.75587386,-1.1678095,0.40005872,-0.097497255,-0.04683765,0.44277498,-0.29661983,0.03851819,1.3199854,0.98276955,1.137697,0.37796122,-0.5320293,-0.18794723,-0.7268513,0.018406838,-1.0077361,0.8867141,-0.3194278,0.5345333,0.1779105,-0.0073422194,-0.44770986,0.207578,-0.79799825,0.17789,0.52091336,1.5503362
KMS-26,0.056875832,-0.30712184,-1.3426574,0.33830526,-0.2547527,0.07060145,0.52720463,-0.06374806,0.14076772,0.62056065,0.15949014,0.49522382,0.41901457,-0.2432843,-0.22462378,0.29236126,-0.24391164,-0.8733382,0.39790007,-0.56765175,-0.13282278,0.08786458,0.08658597,-1.024159,-0.16981494,-0.5935105,0.2772566,0.2893741,0.50494254
OE19,0.056875832,-0.30712184,-1.3426574,0.33830526,-0.2547527,0.07060145,0.52720463,-0.06374806,0.14076772,0.62056065,0.15949014,0.49522382,0.41901457,-0.2432843,-0.22462378,0.29236126,-0.24391164,-0.8733382,0.39790007,-0.56765175,-0.13282278,0.08786458,0.08658597,-1.024159,-0.16981494,-0.5935105,0.2772566,0.2893741,0.50494254
TIG-3 TD,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Capan-2,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
HRT-18,-0.27777824,-0.51812375,-0.8778516,0.44815382,-0.53307676,-0.022406824,0.43835926,-0.93450296,-0.35371256,1.2145159,1.0132856,0.7397475,-0.37980154,-0.100166455,-0.84513545,-0.47438592,-0.38049668,-0.74641263,0.69915223,0.2550373,1.2251235,0.40816817,0.60683984,-0.0625072,-0.30642226,-0.15199943,-0.23116569,0.84505117,1.4499235
FU-OV-1,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
SW1710,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
DEL,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
T3M-4,0.23571315,-0.30228838,-0.7325225,-0.063172325,-0.22067711,-0.11762508,0.24366161,-0.19177878,0.4102691,0.78920954,0.42217082,0.6169342,0.7542095,-0.46958944,-0.10404298,0.11527875,-0.1305148,-0.767118,0.18136746,-0.7216587,0.117210224,-0.016207285,0.19167307,-0.41633576,-0.101623416,-0.6582397,0.18275969,0.30737758,0.8257036
SK-LMS-1,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
SF126,-0.3767993,-0.8416697,-1.2713034,0.7917974,-0.40358165,0.043763444,0.6029814,-0.9072701,-0.57906634,1.5500169,1.3395169,1.1108941,-0.5708833,-0.16600157,-0.8328762,-1.0285065,-0.24876142,-0.9477105,1.2056729,0.46313977,1.3783418,0.5181267,0.3888199,-0.20617598,-0.051092923,-0.3145145,-0.17181571,0.9407453,1.8912985
SNU-475,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
FTC-133,0.3788599,-0.7461856,-1.384851,0.24966592,0.21305811,-0.04855842,0.43160474,0.34608537,0.4823457,1.1084821,0.6116457,1.1992233,1.123729,-0.81380594,0.39068192,-0.4912325,0.2620248,-1.1499286,0.7724831,-0.9696035,-0.33918628,-0.086456835,-0.47667563,-0.9414022,0.48724854,-1.2751852,0.5635668,0.1306288,1.1978297
NCI-H1755,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
PANC-1,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
MFE-319,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
